original	translated
Acción en primera persona	First-Person Shooter
Acción	Action
Arcade	Arcade
Aventura	Adventure
Carreras	Racing
Comunicación	Communication
Deportes	Sports
Disparos (Shooter)	Shooter
Educativo	Education
Estilo de vida	Lifestyle
Estrategia	Strategy
Fiesta	Party
Herramienta de sistema	System Tool
Lucha	Fighting
Multijugador	Multiplayer
Música	Music
Otros	Other
Plataformas	Platformer
Puzle	Puzle
Rol (RPG)	RPG
Simulación	Simulation
Study	Study
Tablero	Board Game
Tienda	Shops
Training	Training
Uso práctico	Practical
